v,R,c,k,max_tilt,final_tilt,max_omega
5.0,20.0,30.0,1500.0,0.8024382678651688,0.23648523011024067,0.9827295649554626
5.0,20.0,30.0,2000.0,0.604731229495345,0.48379477436777457,0.8554448266629542
5.0,20.0,30.0,2500.0,0.48541938322794576,0.11548849783884488,0.7675104080289388
5.0,20.0,30.0,3000.0,0.40559568787497385,0.3222307417437687,0.7024876166534432
5.0,20.0,30.0,3500.0,0.3483644482923913,0.0848114840964175,0.6517653558262044
5.0,20.0,52.5,1500.0,0.780748189177751,0.3048457045922949,0.9561504322172075
5.0,20.0,52.5,2000.0,0.5904365708511459,0.4215949889688417,0.8352161538450212
5.0,20.0,52.5,2500.0,0.4751079256155114,0.1638863226107552,0.7513220976290125
5.0,20.0,52.5,3000.0,0.3976877194771484,0.28101460336103656,0.6888729636835289
5.0,20.0,52.5,3500.0,0.3420586619651135,0.11920170540704805,0.6396947170235515
5.0,20.0,75.0,1500.0,0.7602334929720987,0.3478029689900811,0.9305673718586424
5.0,20.0,75.0,2000.0,0.5768139548069523,0.38190960428486315,0.8156576905022986
5.0,20.0,75.0,2500.0,0.4652379206912752,0.19484496852577193,0.7356186397130251
5.0,20.0,75.0,3000.0,0.39008305161140944,0.25469860861487453,0.6756349361211484
5.0,20.0,75.0,3500.0,0.33597912739428937,0.14108241703258384,0.6281419805744387
5.0,20.0,97.5,1500.0,0.7408041957403921,0.3747992089074178,0.9060334790226336
5.0,20.0,97.5,2000.0,0.5638684022954916,0.35657080592066365,0.7967386987125616
5.0,20.0,97.5,2500.0,0.45578568290357885,0.21468253150842573,0.7203786229518674
5.0,20.0,97.5,3000.0,0.3827672100307594,0.23788625404723565,0.6627596433824139
5.0,20.0,97.5,3500.0,0.3301152272711945,0.15497203052962494,0.617217696989762
5.0,20.0,120.0,1500.0,0.7223825364853731,0.39160937894237363,0.8830283718796212
5.0,20.0,120.0,2000.0,0.5515193805341488,0.34040000186426206,0.7789269337499308
5.0,20.0,120.0,2500.0,0.44672786542171133,0.2274081105336966,0.705582462799714
5.0,20.0,120.0,3000.0,0.37572715891542974,0.2271428675828771,0.6502323821521069
5.0,20.0,120.0,3500.0,0.3244575236841707,0.163750340075916,0.6065645431985078
5.0,34.285714285714285,30.0,1500.0,0.46808876847368946,0.13794843916158103,0.57325933744916
5.0,34.285714285714285,30.0,2000.0,0.3527598844276216,0.28221362163703495,0.499009610641035
5.0,34.285714285714285,30.0,2500.0,0.28316132809511185,0.06736864389119814,0.4477143932320752
5.0,34.285714285714285,30.0,3000.0,0.23659766702608148,0.1879681234881477,0.40978432094397177
5.0,34.285714285714285,30.0,3500.0,0.20321281625346968,0.04947054630231412,0.38019630495710866
5.0,34.285714285714285,52.5,1500.0,0.45543566290367593,0.17782668338881907,0.5577551807484973
5.0,34.285714285714285,52.5,2000.0,0.3444212390471992,0.24593052456047482,0.48720945504772156
5.0,34.285714285714285,52.5,2500.0,0.27714628781436357,0.09560034473536981,0.4382711283414118
5.0,34.285714285714285,52.5,3000.0,0.23198468475074308,0.1639254970986236,0.40184248102728143
5.0,34.285714285714285,52.5,3500.0,0.19953441658554388,0.06953367086754224,0.37315521019010256
5.0,34.285714285714285,75.0,1500.0,0.44346822735425834,0.20288453293037045,0.5428328168047899
5.0,34.285714285714285,75.0,2000.0,0.33647441821419277,0.22278058036491,0.4758004530640014
5.0,34.285714285714285,75.0,2500.0,0.27138867493086405,0.1136595108357051,0.4291104612909627
5.0,34.285714285714285,75.0,3000.0,0.2275487244209471,0.1485743599103217,0.3941200193245429
5.0,34.285714285714285,75.0,3500.0,0.19598808765522768,0.08229076075193423,0.36641585899012985
5.0,34.285714285714285,97.5,1500.0,0.43213425958286505,0.21867031248412763,0.5285216285622741
5.0,34.285714285714285,97.5,2000.0,0.3289222108667608,0.20799945034392495,0.4647648879396502
5.0,34.285714285714285,97.5,2500.0,0.2658746602667739,0.12523145872463234,0.42022030559326023
5.0,34.285714285714285,97.5,3000.0,0.22328124722041026,0.13876665010193884,0.38660906615140095
5.0,34.285714285714285,97.5,3500.0,0.19256760291259412,0.09039961878583458,0.3600429837820395
5.0,34.285714285714285,120.0,1500.0,0.42138831954820755,0.22843788207447574,0.5151027216334008
5.0,34.285714285714285,120.0,2000.0,0.3217184729737252,0.19856629335829146,0.4543744415008087
5.0,34.285714285714285,120.0,2500.0,0.2605906861688251,0.13265470963498058,0.41158937399022943
5.0,34.285714285714285,120.0,3000.0,0.21917454450364995,0.13249979771881001,0.37930128540427654
5.0,34.285714285714285,120.0,3500.0,0.18926738396933826,0.09552345460650945,0.3538282423497587
5.0,48.57142857142857,30.0,1500.0,0.3304154506504266,0.09737437937733305,0.40465394302471236
5.0,48.57142857142857,30.0,2000.0,0.249006978848556,0.19920963471858671,0.3522421678262003
5.0,48.57142857142857,30.0,2500.0,0.19987860074730715,0.04755456680815375,0.3160336817804805
5.0,48.57142857142857,30.0,3000.0,0.16701024600025788,0.13268353072098826,0.28925943893313355
5.0,48.57142857142857,30.0,3500.0,0.14344449510848956,0.03491914763606376,0.26837376212271624
5.0,48.57142857142857,52.5,1500.0,0.32148348924235987,0.12552450134513798,0.3937100282887473
5.0,48.57142857142857,52.5,2000.0,0.24312081693396453,0.1735981088094093,0.3439125826530245
5.0,48.57142857142857,52.5,2500.0,0.19563267498371822,0.06748257584719286,0.3093677951098345
5.0,48.57142857142857,52.5,3000.0,0.163754023595246,0.11571234695725921,0.28365346023060894
5.0,48.57142857142857,52.5,3500.0,0.14084796335711622,0.049081835412258995,0.2634036476185634
5.0,48.57142857142857,75.0,1500.0,0.313035529648491,0.14325715131892167,0.3831772866839642
5.0,48.57142857142857,75.0,2000.0,0.23751111083353796,0.15725686239688058,0.3358592167059509
5.0,48.57142857142857,75.0,2500.0,0.1915684080140415,0.08023021163950272,0.30290123517470524
5.0,48.57142857142857,75.0,3000.0,0.16062281992471633,0.1048762562093023,0.27820213428558294
5.0,48.57142857142857,75.0,3500.0,0.1383447152847561,0.05807790852682489,0.2586462925608609
5.0,48.57142857142857,97.5,1500.0,0.3050349208264927,0.15435488449090282,0.37307542616951406
5.0,48.57142857142857,97.5,2000.0,0.232179715810423,0.14682302787916154,0.32806971735218543
5.0,48.57142857142857,97.5,2500.0,0.18767602968026792,0.08839872450080825,0.2966257178197127
5.0,48.57142857142857,97.5,3000.0,0.15761055125812293,0.09795299479846885,0.27290004365207693
5.0,48.57142857142857,97.5,3500.0,0.13593033678133237,0.0638109728151676,0.25414755249103477
5.0,48.57142857142857,120.0,1500.0,0.29744954912186894,0.161249408152593,0.363603765262191
5.0,48.57142857142857,120.0,2000.0,0.22709460897290057,0.14016426820829295,0.32073509910106485
5.0,48.57142857142857,120.0,2500.0,0.183946004144643,0.09363859502154345,0.29053337637188187
5.0,48.57142857142857,120.0,3000.0,0.1547117103975989,0.0935291128574821,0.2677414555186212
5.0,48.57142857142857,120.0,3500.0,0.13360084637158712,0.06742818022349335,0.24976041114618452
5.0,62.85714285714286,30.0,1500.0,0.2553209173224184,0.07524301575981912,0.31268735978993767
5.0,62.85714285714286,30.0,2000.0,0.1924144858318747,0.15393474513489563,0.2721871983082974
5.0,62.85714285714286,30.0,2500.0,0.1544516594945877,0.03674687386484987,0.24420783943183696
5.0,62.85714285714286,30.0,3000.0,0.12905347053126137,0.10252833224237744,0.22351859707084124
5.0,62.85714285714286,30.0,3500.0,0.11084359136394527,0.026982242692003673,0.2073796527490991
5.0,62.85714285714286,52.5,1500.0,0.24841869650946483,0.09699589950059548,0.30423082227171594
5.0,62.85714285714286,52.5,2000.0,0.1878660469587278,0.13414407110425944,0.2657506548432591
5.0,62.85714285714286,52.5,2500.0,0.15117070627583096,0.05214561407814559,0.23905689066425684
5.0,62.85714285714286,52.5,3000.0,0.12653729955856394,0.08941427035720831,0.21918672249153145
5.0,62.85714285714286,52.5,3500.0,0.10883717126474288,0.03792620149395993,0.20353915822787594
5.0,62.85714285714286,75.0,1500.0,0.24189046351469717,0.1106982304928699,0.2960923672792347
5.0,62.85714285714286,75.0,2000.0,0.1835311458062126,0.12151665322554468,0.25952762081546477
5.0,62.85714285714286,75.0,2500.0,0.1480300876776335,0.06199604562225658,0.23405985568770937
5.0,62.85714285714286,75.0,3000.0,0.12411777774082944,0.08104132365074608,0.2149742115711864
5.0,62.85714285714286,75.0,3500.0,0.1069028738552629,0.044878073850687726,0.19986290124180736
5.0,62.85714285714286,97.5,1500.0,0.23570804360804906,0.11927367534421467,0.28828648753503655
5.0,62.85714285714286,97.5,2000.0,0.1794111201202511,0.11345361940237787,0.25350866830233854
5.0,62.85714285714286,97.5,2500.0,0.1450222483637298,0.06830820650379403,0.2292104995149037
5.0,62.85714285714286,97.5,3000.0,0.12179016749389779,0.07569100347398844,0.21087696744495615
5.0,62.85714285714286,97.5,3500.0,0.10503727637210622,0.049308059884116795,0.19638643425289767
5.0,62.85714285714286,120.0,1500.0,0.2298466036046625,0.12460109599962398,0.2809678582866342
5.0,62.85714285714286,120.0,2000.0,0.17548158340682762,0.10830894900130911,0.24784085923341773
5.0,62.85714285714286,120.0,2500.0,0.14213984042117145,0.07235705721271155,0.22450282189959925
5.0,62.85714285714286,120.0,3000.0,0.1195501679673015,0.07227186907504232,0.20689066435300013
5.0,62.85714285714286,120.0,3500.0,0.10323727336401405,0.05210614230942892,0.1929961792857404
